BuildingName;BuildingType;Latitude;Longitude;Neighborhood;YearBuilt;EPAPropertyType;LargestPropertyUseType;ComplianceStatus;ComplianceIssue
SEATTLE HEBREW ACADEMY;NonResidential;47.63442;-122.30793;EAST;1911;K-12 School;K-12 School;Compliant;No Issue
FOUR POINTS SHERATON SEATTLE CENTER;NonResidential;47.62519;-122.34456;MAGNOLIA / QUEEN ANNE;1999;Hotel;Hotel;Compliant;No Issue
WA DEPT OF SOCIAL & HEALTH SERVICES (DSHS);NonResidential;47.60823;-122.30956;CENTRAL;1962;Office;Office;Compliant;No Issue
PROVIDENCE MT ST VINCENT;NonResidential;47.55837;-122.37751;SOUTHWEST;1922;;Senior Living Community;Compliant;No Issue
FOSS HOME AND VILLAGE;NonResidential;47.72426;-122.35599;NORTHWEST;1970;;Senior Living Community;Compliant;No Issue
SCCA - ALLIANCE HOUSE;NonResidential;47.61988;-122.33211;LAKE UNION;2008;Hotel;Hotel;Compliant;No Issue
ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.5097;-122.37759;SOUTHWEST;2016;K-12 School;K-12 School;Compliant;No Issue
POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH);NonResidential;47.61244;-122.3214;EAST;1965;Parking;Parking;Compliant;No Issue
SORRENTO HOTEL;NonResidential;47.60898;-122.32693;EAST;1908;Hotel;Hotel;Compliant;No Issue
PUGET SOUND BLOOD CENTER;NonResidential;47.60845;-122.32637;EAST;1983;Medical Office;Medical Office;Compliant;No Issue
CITY PLACE III (Obidos/Rufus);NonResidential;47.62424;-122.33646;LAKE UNION;2010;Office;Office;Compliant;No Issue
MARRIOTT RESIDENCE INN;NonResidential;47.62642;-122.33325;LAKE UNION;1990;Hotel;Hotel;Compliant;No Issue
BAGLEY WRIGHT THEATER - SEATTLE CENTER;Nonresidential COS;47.62141;-122.35086;MAGNOLIA / QUEEN ANNE;1962;Other;Other;Compliant;No Issue
ARMORY - SEATTLE CENTER;Nonresidential COS;47.62141;-122.35086;MAGNOLIA / QUEEN ANNE;1938;Other;Other;Compliant;No Issue
CITY PLACE IV (Ruby/Dawson);NonResidential;47.62112;-122.33629;LAKE UNION;2010;Office;Office;Compliant;No Issue
EXHIBITION HALL - SEATTLE CENTER;Nonresidential COS;47.62395;-122.35143;MAGNOLIA / QUEEN ANNE;1962;Social/Meeting Hall;Social/Meeting Hall;Compliant;No Issue
MCCAW HALL - SEATTLE CENTER;Nonresidential COS;47.62395;-122.35143;MAGNOLIA / QUEEN ANNE;1928;Performing Arts;Performing Arts;Compliant;No Issue
KCTS 9;NonResidential;47.62391;-122.34837;MAGNOLIA / QUEEN ANNE;1986;Other;Other;Compliant;No Issue
BILL & MELINDA GATES FOUNDATION;NonResidential;47.62419;-122.34443;MAGNOLIA / QUEEN ANNE;2010;Office;Office;Compliant;No Issue
SCRIPPS BUILDING - 221 FIRST AVENUE WEST;NonResidential;47.62053;-122.35842;MAGNOLIA / QUEEN ANNE;1970;Office;Office;Compliant;No Issue
THE MEDITERRANEAN INN;NonResidential;47.62291;-122.35708;MAGNOLIA / QUEEN ANNE;2002;Hotel;Hotel;Compliant;No Issue
UNIVERSITY INN;NonResidential;47.65772;-122.31756;NORTHEAST;1962;Hotel;Hotel;Compliant;No Issue
PATHFINDER/COOPER SCHOOL (SPS-DISTRICT);SPS-District K-12;47.5636;-122.358;DELRIDGE NEIGHBORHOODS;1999;K-12 School;K-12 School;Compliant;No Issue
ST JOSEPH K-8 SCHOOL;NonResidential;47.62548;-122.30828;EAST;1923;K-12 School;K-12 School;Compliant;No Issue
HOLY NAMES ACADEMY;NonResidential;47.62644;-122.30429;EAST;1908;K-12 School;K-12 School;Compliant;No Issue
THE 2100 BUILDING;NonResidential;47.58408;-122.30125;SOUTHEAST;2003;Office;Office;Compliant;No Issue
MUIR ELEMENTARY SCHOOL(SPS-DISTRICT);SPS-District K-12;47.57324;-122.29058;SOUTHEAST;1991;K-12 School;K-12 School;Compliant;No Issue
MERCER MIDDLE (SPS-DISTRICT);SPS-District K-12;47.56413;-122.31208;GREATER DUWAMISH;1957;K-12 School;K-12 School;Compliant;No Issue
ORCA AT WHITWORTH ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.55478;-122.27596;SOUTHEAST;1989;K-12 School;K-12 School;Compliant;No Issue
MCCLURE MIDDLE (SPS-DISTRICT);SPS-District K-12;47.63683;-122.35896;MAGNOLIA / QUEEN ANNE;1964;K-12 School;K-12 School;Compliant;No Issue
CENTURYLINK: LAKEVIEW MAIN;NonResidential;47.67524;-122.31534;NORTHEAST;1941;Data Center;Data Center;Compliant;No Issue
ROOSEVELT SQUARE;NonResidential;47.67559;-122.31769;NORTHEAST;1929;Supermarket/Grocery Store;Supermarket/Grocery Store;Compliant;No Issue
KING COUNTY- MARY PILGRIM HOUSING;NonResidential;47.73141;-122.3458;NORTHWEST;2001;Multifamily Housing;Multifamily Housing;Not Compliant;Missing 2021 EUI or Electricity Data
BROADVIEW THOMSON K-8 (SPS-DISTRICT);SPS-District K-12;47.72463;-122.35315;NORTHWEST;1963;K-12 School;K-12 School;Compliant;No Issue
INGRAHAM HIGH (SPS-DISTRICT);SPS-District K-12;47.7257;-122.33684;NORTHWEST;1959;K-12 School;K-12 School;Compliant;No Issue
KING COUNTY- NORTHGATE HOUSING;NonResidential;47.72529;-122.34115;NORTHWEST;2002;Multifamily Housing;Multifamily Housing;Not Compliant;Missing 2021 EUI or Electricity Data
B F DAY ELEMENTARY (SPS-DISTRICT);SPS-District K-12;47.65464;-122.34912;LAKE UNION;1991;K-12 School;K-12 School;Compliant;No Issue
HUGHES ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.53284;-122.37493;DELRIDGE NEIGHBORHOODS;1926;K-12 School;K-12 School;Compliant;No Issue
SEATTLE PACIFIC UNIVERSITY - Royal Brougham Pavilion;NonResidential;47.65115;-122.36037;MAGNOLIA / QUEEN ANNE;1927;College/University;College/University;Compliant;No Issue
ALEXIS HOTEL;NonResidential;47.6048;-122.3368;DOWNTOWN;1904;Hotel;Hotel;Compliant;No Issue
BENAROYA HALL;Nonresidential COS;47.60804;-122.3367;DOWNTOWN;1998;Performing Arts;Performing Arts;Compliant;No Issue
SWEDISH MEDICAL CENTER BALLARD - CAMPUS;Campus;47.66737;-122.37956;BALLARD;1954;Hospital (General Medical & Surgical);Hospital (General Medical & Surgical);Compliant;No Issue
FIRE STATION 10/FAC/EOC;Nonresidential COS;47.60102;-122.32873;DOWNTOWN;2006;Fire Station;Fire Station;Compliant;No Issue
WING LUKE MUSEUM/KONG YICK BLDG.;NonResidential;47.59809;-122.32283;DOWNTOWN;1910;Museum;Museum;Compliant;No Issue
HAMPTON INN & SUITES;NonResidential;47.62614;-122.3467;MAGNOLIA / QUEEN ANNE;1996;Hotel;Hotel;Compliant;No Issue
FRANKLIN HIGH SCHOOL (SPS-DISTRICT);SPS-District K-12;47.57589;-122.29365;SOUTHEAST;1990;K-12 School;K-12 School;Compliant;No Issue
SEATTLE CENTRAL COLLEGE - FINE ARTS BLDG;NonResidential;47.61495;-122.32177;EAST;1915;College/University;College/University;Compliant;No Issue
SOUTH SEATTLE COLLEGE - CAMPUS MASTER ID;Campus;47.547;-122.35307;DELRIDGE NEIGHBORHOODS;1970;College/University;College/University;Compliant;No Issue
SEATTLE CHILDREN'S HOSPITAL (ADMIN BLDG);NonResidential;47.67836;-122.26442;NORTHEAST;2002;Office;Office;Compliant;No Issue
CSC Vehicle Maintenance (E);Nonresidential COS;47.59545;-122.32146;GREATER DUWAMISH;1950;Repair Services (Vehicle, Shoe, Locksmith, etc);Repair Services (Vehicle, Shoe, Locksmith, etc.);Compliant;No Issue
GARFIELD HIGH (SPS-DISTRICT);SPS-District K-12;47.60598;-122.30156;CENTRAL;2008;K-12 School;K-12 School;Compliant;No Issue
EMERSON ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.51482;-122.25864;SOUTHEAST;2001;K-12 School;K-12 School;Compliant;No Issue
MADRONA SCHOOL (SPS-DISTRICT);SPS-District K-12;47.61224;-122.29087;CENTRAL;2002;K-12 School;K-12 School;Compliant;No Issue
VAN ASSELT ELEMENTARY @ AAA  (SPS-DISTRICT);SPS-District K-12;47.52915;-122.28904;GREATER DUWAMISH;2000;K-12 School;K-12 School;Compliant;No Issue
UNION GOSPEL MISSION ASSN - ADMIN BUILDING;NonResidential;47.53827;-122.28406;GREATER DUWAMISH;1958;Worship Facility;Worship Facility;Compliant;No Issue
UNION GOSPEL MISSION ASSN / HOPE PLACE;NonResidential;47.53722;-122.284;GREATER DUWAMISH;2009;Other - Lodging/Residential;Other - Lodging/Residential;Compliant;No Issue
SEATTLE PACIFIC UNIVERSITY - Otto Miller Hall;NonResidential;47.65147;-122.36122;MAGNOLIA / QUEEN ANNE;1980;College/University;College/University;Compliant;No Issue
EMERSON HALL, SEATTLE PACIFIC UNIVERSITY;Multifamily LR (1-4);47.65068;-122.36331;MAGNOLIA / QUEEN ANNE;2001;Multifamily LR (1-4);Residence Hall/Dormitory;Not Compliant;Account Requires Verification
NATHAN HALE HIGH (SPS-DISTRICT);SPS-District K-12;47.70763;-122.29453;NORTH;2011;K-12 School;K-12 School;Compliant;No Issue
GREENWOOD ELEMENTARY (SPS-DISTRICT);SPS-District K-12;47.68725;-122.35996;NORTHWEST;2002;K-12 School;K-12 School;Compliant;No Issue
WEBSTER ST BUILDING (CEDAR GROVE);NonResidential;47.536;-122.31768;GREATER DUWAMISH;2007;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
NORTHGATE MALL SHOPPING CENTER RETAIL STORES  - ACTIVE/PRIMARY ID;Campus;47.70759;-122.3255;NORTH;1951;Retail Store;Retail Store;Compliant;No Issue
SEATTLE CHILDREN'S HOSPITAL  (MAIN CAMPUS);Campus;47.66231;-122.28146;NORTHEAST;1953;Hospital (General Medical & Surgical);Hospital (General Medical & Surgical);Compliant;No Issue
Verity Credit Union;NonResidential;47.70956;-122.3345;NORTHWEST;1996;Financial Office;Financial Office;Compliant;No Issue
BALLARD HIGH (SPS-DISTRICT);SPS-District K-12;47.67661;-122.37489;BALLARD;1999;K-12 School;K-12 School;Compliant;No Issue
SEATTLE UNIVERSITY - Madison Building (MADI);NonResidential;47.61239;-122.31708;EAST;1910;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
NORTH SEATTLE COLLEGE - CAMPUS;Campus;47.69936;-122.33401;NORTHWEST;1970;College/University;College/University;Compliant;No Issue
AKI KUROSE MIDDLE (SPS-DISTRICT);SPS-District K-12;47.54632;-122.28198;SOUTHEAST;1952;K-12 School;K-12 School;Compliant;No Issue
BOREN STEM K-8 (SPS-DISTRICT);SPS-District K-12;47.54862;-122.36214;DELRIDGE NEIGHBORHOODS;1963;K-12 School;K-12 School;Compliant;No Issue
RAINIER BOTTLING PLANT;NonResidential;47.55152;-122.31869;GREATER DUWAMISH;1904;Manufacturing/Industrial Plant;Manufacturing/Industrial Plant;Compliant;No Issue
RAINIER BEACH HIGH SCHOOL (SPS-DISTRICT);SPS-District K-12;47.52407;-122.26586;SOUTHEAST;1960;K-12 School;K-12 School;Compliant;No Issue
WHITMAN MIDDLE (SPS-DISTRICT);SPS-District K-12;47.69675;-122.3776;BALLARD;1959;K-12 School;K-12 School;Compliant;No Issue
SODO ROW;NonResidential;47.55901;-122.33328;GREATER DUWAMISH;1937;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
WESTWOOD VILLAGE - BLDG A;NonResidential;47.52254;-122.36627;DELRIDGE NEIGHBORHOODS;1966;Retail Store;Retail Store;Not Compliant;Portfolio Manager Account Not Shared
WESTWOOD VILLAGE - BLDG B;NonResidential;47.52254;-122.36627;DELRIDGE NEIGHBORHOODS;1965;Retail Store;Retail Store;Not Compliant;Portfolio Manager Account Not Shared
DENNY/ SEALTH CAMPUS (SPS-DISTRICT);SPS-District K-12;47.52915;-122.36511;DELRIDGE NEIGHBORHOODS;2010;K-12 School;K-12 School;Compliant;No Issue
ROXHILL ELEMENTARY SCHOOL(SPS-DISTRICT);SPS-District K-12;47.51778;-122.37074;DELRIDGE NEIGHBORHOODS;1958;K-12 School;K-12 School;Compliant;No Issue
WASHINGTON MIDDLE (SPS-DISTRICT);SPS-District K-12;47.59796;-122.30415;CENTRAL;1963;K-12 School;K-12 School;Compliant;No Issue
MARTIN LUTHER KING JR (BRIGHTON) ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.54174;-122.27691;SOUTHEAST;2004;K-12 School;K-12 School;Compliant;No Issue
U-HAUL RENTALS & MINI-STORAGE;NonResidential;47.54508;-122.37737;SOUTHWEST;1969;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
HAMILTON MIDDLE (SPS-DISTRICT);SPS-District K-12;47.65708;-122.33803;LAKE UNION;2010;K-12 School;K-12 School;Compliant;No Issue
SILVER CLOUD INN LAKE UNION;NonResidential;47.62972;-122.32906;LAKE UNION;1998;Hotel;Hotel;Compliant;No Issue
ARMORY BUILDING (MOHAI);Nonresidential COS;47.62759;-122.33661;LAKE UNION;1900;Museum;Museum;Compliant;No Issue
SEATTLE CITY LIGHT ROY STREET WAREHOUSE;Nonresidential COS;47.62552;-122.34064;MAGNOLIA / QUEEN ANNE;1926;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
COURTYARD BY MARRIOTT - SEATTLE;NonResidential;47.62782;-122.34045;MAGNOLIA / QUEEN ANNE;1998;Hotel;Hotel;Compliant;No Issue
WHITTIER ELEMENTARY (SPS-DISTRICT);SPS-District K-12;47.68359;-122.37308;BALLARD;1999;K-12 School;K-12 School;Compliant;No Issue
CITY OF SEATTLE - NSC;Nonresidential COS;47.70044;-122.34136;NORTHWEST;1957;Office;Office;Compliant;No Issue
GATEWOOD ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.54025;-122.3885;SOUTHWEST;1991;K-12 School;K-12 School;Compliant;No Issue
HOTEL NEXUS - NORTHGATE;NonResidential;47.70916;-122.33216;NORTHWEST;1968;Hotel;Hotel;Compliant;No Issue
OLYMPIC VIEW (SPS-DISTRICT);SPS-District K-12;47.69823;-122.32126;NORTH;1989;K-12 School;K-12 School;Compliant;No Issue
VAN ASSELT (OLD) SCHOOL (SPS-DISTRICT);SPS-District K-12;47.53809;-122.29591;GREATER DUWAMISH;1925;K-12 School;K-12 School;Compliant;No Issue
CENTURYLINK FIELD-STADIUM;NonResidential;47.59544;-122.33159;GREATER DUWAMISH;1999;Other - Entertainment/Public Assembly;Other - Entertainment/Public Assembly;Compliant;No Issue
CITY LIGHT - SOUTH SERVICE CENTER BLDG A;Nonresidential COS;47.57199;-122.32811;GREATER DUWAMISH;1924;Other - Utility;Other - Utility;Compliant;No Issue
CITY LIGHT - SOUTH SERVICE CENTER BLDG B;Nonresidential COS;47.57199;-122.32811;GREATER DUWAMISH;1965;Other - Utility;Other - Utility;Compliant;No Issue
T-MOBILE PARK (SAFECO FIELD);NonResidential;47.59085;-122.33354;GREATER DUWAMISH;1999;Other - Entertainment/Public Assembly;Other - Entertainment/Public Assembly;Not Compliant;Missing 2021 EUI or Electricity Data
SILVER CLOUD INN SEATTLE;NonResidential;47.59269;-122.33372;GREATER DUWAMISH;2005;Hotel;Hotel;Compliant;No Issue
PORT OF SEATTLE- TERMINAL 30 (CAMPUS);Campus;47.58405;-122.34223;GREATER DUWAMISH;2003;Mixed Use Property;Transportation Terminal/Station;Compliant;No Issue
HARBOR ISLAND WAREHOUSE - KING COUNTY;NonResidential;47.57507;-122.35747;GREATER DUWAMISH;1916;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;Compliant;No Issue
LINCOLN HIGH (SPS-DISTRICT);SPS-District K-12;47.65996;-122.33962;LAKE UNION;1997;K-12 School;K-12 School;Compliant;No Issue
BOEING SOUTH PARK CAMPUS REPORT;Campus;47.52429;-122.31234;GREATER DUWAMISH;1980;Mixed Use Property;Office;Compliant;No Issue
THORNTON CINEMA BUILDING & PARKING GARAGE;NonResidential;47.70281;-122.32532;NORTH;2008;Parking;Parking;Compliant;No Issue
TRIBECA CONDOS & STORE;NonResidential;47.6239;-122.35756;MAGNOLIA / QUEEN ANNE;2002;Supermarket/Grocery Store;Supermarket/Grocery Store;Not Compliant;Account Requires Verification
2024 THIRD AVE/YWCA;Multifamily MR (5-9);47.61316;-122.34153;DOWNTOWN;2003;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
WEST SEATTLE FOOD BANK;Multifamily LR (1-4);47.54448;-122.37603;DELRIDGE NEIGHBORHOODS;2007;Multifamily LR (1-4);Multifamily Housing;Compliant;No Issue
PINE ST. CONDO-ELLIOTT GRAND HYATT SEATTLE;NonResidential;47.61275;-122.3333;DOWNTOWN;1999;Hotel;Hotel;Compliant;No Issue
SWEDISH MEDICAL CENTER CHERRY HILL - CAMPUS;Campus;47.60705;-122.30966;CENTRAL;1990;Hospital (General Medical & Surgical);Hospital (General Medical & Surgical);Compliant;No Issue
HIGHLAND PARK SCHOOL (SPS-DISTRICT);SPS-District K-12;47.52518;-122.34828;DELRIDGE NEIGHBORHOODS;1999;K-12 School;K-12 School;Compliant;No Issue
PUBLIC STORAGE (STORE 27020);NonResidential;47.65097;-122.34227;LAKE UNION;1991;Self-Storage Facility;Self-Storage Facility;Compliant;No Issue
HARBORVIEW MEDICAL CENTER - Campus;Campus;47.60399;-122.32377;EAST;2000;Hospital (General Medical & Surgical);Hospital (General Medical & Surgical);Compliant;No Issue
ID VILLAGE SQUARE 1;NonResidential;47.59626;-122.3218;DOWNTOWN;1999;;Senior Living Community;Not Compliant;Default Data
WEST SEATTLE HIGH SCHOOL (SPS-DISTRICT);SPS-District K-12;47.57678;-122.38459;SOUTHWEST;2002;K-12 School;K-12 School;Compliant;No Issue
THE WINTONIA;Multifamily MR (5-9);47.6136;-122.32785;EAST;1909;Multifamily MR (5-9);Multifamily Housing;Compliant;No Issue
UNIVERSITY HTS CENTER;NonResidential;47.66568;-122.31368;NORTHEAST;1928;Social/Meeting Hall;Social/Meeting Hall;Compliant;No Issue
HOTEL DECA;NonResidential;47.66151;-122.31457;NORTHEAST;1931;Hotel;Hotel;Compliant;No Issue
LAKE CITY CENTER;NonResidential;47.71895;-122.29475;NORTH;1972;Office;Office;Compliant;No Issue
UNIVERSITY CONGREGATIONAL CHURCH;NonResidential;47.66182;-122.31113;NORTHEAST;1952;Worship Facility;Worship Facility;Compliant;No Issue
UNIVERSITY PRESBY CHURCH;NonResidential;47.6626;-122.31164;NORTHEAST;1952;Worship Facility;Worship Facility;Compliant;No Issue
ROOSEVELT HIGH (SPS-DISTRICT);SPS-District K-12;47.67723;-122.31281;NORTHEAST;2006;K-12 School;K-12 School;Compliant;No Issue
BRYANT ELEMENTARY (SPS-DISTRICT);SPS-District K-12;47.67184;-122.29221;NORTHEAST;2001;K-12 School;K-12 School;Compliant;No Issue
FRANTZ H COE ELEMENTARY SCHOOL (SPS-DISTRICT);SPS-District K-12;47.64052;-122.3656;MAGNOLIA / QUEEN ANNE;2003;K-12 School;K-12 School;Compliant;No Issue
MADISON MIDDLE (SPS-DISTRICT);SPS-District K-12;47.57298;-122.39028;SOUTHWEST;2005;K-12 School;K-12 School;Compliant;No Issue
THURGOOD MARSHALL (SPS-DISTRICT);SPS-District K-12;47.59096;-122.29985;CENTRAL;1991;K-12 School;K-12 School;Compliant;No Issue
MARSHALL, JOHN (SPS-DISTRICT);SPS-District K-12;47.67725;-122.32232;NORTHWEST;1927;K-12 School;K-12 School;Compliant;No Issue
ACT THEATER;NonResidential;47.61103;-122.33238;DOWNTOWN;1914;Other - Entertainment/Public Assembly;Other - Entertainment/Public Assembly;Compliant;No Issue
YWCA Women's Residence;NonResidential;47.6079;-122.33266;DOWNTOWN;1913;Residence Hall/Dormitory;Residence Hall/Dormitory;Compliant;No Issue
